SystemId|Customer Name|Customer Number|Account System Id|Account Number|Dealing Officer 1 Email ID|Customer Location|Business Unit|Asset System Id|Possession Date|Publication Name|Expense|Asset(Possession)|Edition|Document Name|Document Title|Description (13/4)|Publication Date (13/2)|Publication Name (13/2)|Expense (13/2)|Asset (13/2)|Edition (13/2)|Document Name (13/2)|Document Title (13/2)|Description (13/2)|Valuer|Date of Aproval|Valuation Date|Market Value|Distress Sale Value|Reserve Price|Valuation Asset|Valuation Method|Realizable Value|Approver By|Auction Date|Auction Ref No|Accepted Bid Amount|Sale Status|Purchaser|Auction Market Value|Auctioning Agency|Auction Asset|Auction Type|Auction Location|Reserve Value|EMD %|EMD Amount|Date Of Issuance Of Sale Certificate|EMD Date|Final Payment Date|Authorised Officer Name
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|38|||||||||08-Mar-2023|publication|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|38|||||||||08-Mar-2023|publication23|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|38|08-Mar-2023|publication|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|38|08-Mar-2023|publication23|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|39|||||||||08-Mar-2023|publication|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|39|||||||||08-Mar-2023|publication23|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|39|08-Mar-2023|publication|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|39|08-Mar-2023|publication23|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|43|||||||||08-Mar-2023|publication|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|43|||||||||08-Mar-2023|publication23|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|43|08-Mar-2023|publication|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|43|08-Mar-2023|publication23|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|122|||||||||08-Mar-2023|publication|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|122|||||||||08-Mar-2023|publication23|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|122|08-Mar-2023|publication|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|122|08-Mar-2023|publication23|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|187|LAN1107|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|90|||||||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|187|LAN1107|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|91|||||||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|187|LAN1107|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|92|||||||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|2|||||||||04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||authorised shamravan
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|2|||||||||04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||authorised shamravan
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|2|||||||||08-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||authorised shamravan
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|2|||||||||12-May-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||authorised shamravan
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|2|04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||authorised shamravan
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|2|04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||authorised shamravan
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|2|08-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||authorised shamravan
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|2|12-May-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||authorised shamravan
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|3|||||||||04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|3|||||||||04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|3|||||||||08-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|3|||||||||12-May-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|3|04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|3|04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|3|08-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|3|12-May-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|5|||||||||04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|5|||||||||04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|5|||||||||08-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|5|||||||||12-May-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|5|04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|5|04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|5|08-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|5|12-May-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|40|||||||||04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|40|||||||||04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|40|||||||||08-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|40|||||||||12-May-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|40|04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|40|04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|40|08-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|40|12-May-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|41|||||||||04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|41|||||||||04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|41|||||||||08-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|41|||||||||12-May-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|41|04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|41|04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|41|08-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|41|12-May-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|117|||||||||04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||AVC
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|117|||||||||04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||AVC
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|117|||||||||08-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||AVC
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|117|||||||||12-May-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||AVC
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|117|04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||AVC
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|117|04-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||AVC
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|117|08-Jan-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||AVC
3|DIGVIJAY JOSHI|202040|3|LAN4041|Akash D: Akash@cubictree.com|AKOLA|CTQA|117|12-May-2024|Loksatta|0|Asset-LAN4041-1	|||||||||||||||||||||||||||||||||||||||AVC
3|DIGVIJAY JOSHI|202040|45|LAN4040-01|Akash D: Akash@cubictree.com|AKOLA|CTQA|11|||||||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|45|LAN4040-01|Akash D: Akash@cubictree.com|AKOLA|CTQA|12|||||||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|13|||||||||04-Mar-2023|publication|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|13|||||||||04-Mar-2023|publication|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|13|||||||||04-Mar-2023|TOB|0|Asset-LAN4040-02-1|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|13|||||||||04-Mar-2023|TOI|0|Asset-LAN4040-02-1|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|13|||||||||22-Mar-2025|publication|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|13|||||||||22-Mar-2025|Publication Name|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|13|04-Mar-2023|publication|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|13|04-Mar-2023|publication|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|13|04-Mar-2023|TOB|0|Asset-LAN4040-02-1|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|13|04-Mar-2023|TOI|0|Asset-LAN4040-02-1|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|13|22-Mar-2025|publication|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|13|22-Mar-2025|Publication Name|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|14|||||||||04-Mar-2023|publication|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|14|||||||||04-Mar-2023|publication|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|14|||||||||04-Mar-2023|TOB|0|Asset-LAN4040-02-1|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|14|||||||||04-Mar-2023|TOI|0|Asset-LAN4040-02-1|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|14|||||||||22-Mar-2025|publication|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|14|||||||||22-Mar-2025|Publication Name|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|14|04-Mar-2023|publication|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|14|04-Mar-2023|publication|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|14|04-Mar-2023|TOB|0|Asset-LAN4040-02-1|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|14|04-Mar-2023|TOI|0|Asset-LAN4040-02-1|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|14|22-Mar-2025|publication|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||||||||||
3|DIGVIJAY JOSHI|202040|46|LAN4040-02|Akash D: Akash@cubictree.com|AKOLA|CTQA|14|22-Mar-2025|Publication Name|0|Asset-LAN4040-02-2|||||||||||||||||||||||||||||||||||||||
6|DEVANSHU|DEVANSHU1|6|DEV|Snehal Gaikwad: snehal.gaikwad@cubictree.com|COLVA|CTQA|105|||||||||||||||||||||||||||||||||||||||||||
6|DEVANSHU|DEVANSHU1|6|DEV|Snehal Gaikwad: snehal.gaikwad@cubictree.com|COLVA|CTQA|106|||||||||||||||||||||||||||||||||||||||||||
10|RIYA|RY01|42|989099|Snehal Gaikwad: snehal.gaikwad@cubictree.com|DELHI|CTQA|8|||||||||05-Jan-2024|Loksatta|0|Home|||||NIRMALA|26-Jul-2024|26-Jul-2024|23000|23000|23000|Home|Market Capitalization|23000||03-Aug-2024|Refno27125|67890|Completed|SHIVRAJ|23000||Home|AT27125|Mumbai Office 1|23000|0|0||||authorised shamravan
10|RIYA|RY01|42|989099|Snehal Gaikwad: snehal.gaikwad@cubictree.com|DELHI|CTQA|8|||||||||05-Jan-2024|Loksatta|0|Home|||||NIRMALA|26-Jul-2024|26-Jul-2024|23000|23000|23000|Home|Market Capitalization|23000||15-Aug-2024||0|Cancel||23000||Home|||23000|0|0||||authorised shamravan
10|RIYA|RY01|42|989099|Snehal Gaikwad: snehal.gaikwad@cubictree.com|DELHI|CTQA|8|||||||||05-Jan-2024|Loksatta|0|Home|||||NIRMALA|26-Jul-2024|26-Jul-2024|23000|23000|23000|Home|Market Capitalization|23000||15-Aug-2024||0|Hold||23000||Home|||23000|0|0||||authorised shamravan
10|RIYA|RY01|42|989099|Snehal Gaikwad: snehal.gaikwad@cubictree.com|DELHI|CTQA|8|||||||||05-Jan-2024|Loksatta|0|Home|||||NIRMALA|26-Jul-2024|26-Jul-2024|23000|23000|23000|Home|Market Capitalization|23000||15-Aug-2024|Asd12|3212|Cancel||23000|A A|Home|ATwsa12|Office21|23000|4|0||16-Sep-2024||authorised shamravan
10|RIYA|RY01|42|989099|Snehal Gaikwad: snehal.gaikwad@cubictree.com|DELHI|CTQA|8|||||||||05-Jan-2024|Loksatta|0|Home|||||NIRMALA|26-Jul-2024|26-Jul-2024|23000|23000|23000|Home|Market Capitalization|23000||15-Aug-2024|asd12|3212|Cancel||23000|A A|Home|Auction Type|Office12|23000|4|0||16-Sep-2024||authorised shamravan
10|RIYA|RY01|42|989099|Snehal Gaikwad: snehal.gaikwad@cubictree.com|DELHI|CTQA|8|||||||||05-Jan-2024|Loksatta|0|Home|||||NIRMALA|26-Jul-2024|26-Jul-2024|23000|23000|23000|Home|Market Capitalization|23000||15-Aug-2024|Auction Ref No|3212|Cancel||23000|A A|Home|Auction Type|Auction Location|23000|4|0||19-Sep-2024||authorised shamravan
10|RIYA|RY01|42|989099|Snehal Gaikwad: snehal.gaikwad@cubictree.com|DELHI|CTQA|8|||||||||05-Jan-2024|Loksatta|0|Home|||||NIRMALA|26-Jul-2024|26-Jul-2024|23000|23000|23000|Home|Market Capitalization|23000||15-Aug-2024|Refn27125|3421|Cancel||23000|A A|Home|ATT27125||23000|7|0||14-Aug-2024||authorised shamravan
10|RIYA|RY01|42|989099|Snehal Gaikwad: snehal.gaikwad@cubictree.com|DELHI|CTQA|8|||||||||05-Jan-2024|Loksatta|0|Home|||||NIRMALA|27-May-2024|27-May-2024|23000|23000|23000|Home|Market Capitalization|23000|Manager|03-Aug-2024|Refno27125|67890|Completed|SHIVRAJ|23000||Home|AT27125|Mumbai Office 1|23000|0|0||||authorised shamravan
10|RIYA|RY01|42|989099|Snehal Gaikwad: snehal.gaikwad@cubictree.com|DELHI|CTQA|8|||||||||05-Jan-2024|Loksatta|0|Home|||||NIRMALA|27-May-2024|27-May-2024|23000|23000|23000|Home|Market Capitalization|23000|Manager|15-Aug-2024||0|Cancel||23000||Home|||23000|0|0||||authorised shamravan
